date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1993-06-01,0,2.956021785880562e-5,0,3.10382287517459e-4,5.71497545270242e-4,4.926702976467603e-6,6.478614414054899e-4
1993-07-01,0,2.9189694092005914e-5,0,3.6000622713473963e-4,2.602747723203861e-4,4.864949015334319e-6,2.8703199190472484e-4
1993-08-01,0,4.09879543635294e-5,0,3.6648053313273346e-4,2.1940610865183385e-4,3.857689822449826e-5,3.3754785946435976e-4
1993-09-01,2.3770359312751373e-6,3.5655538969127056e-5,0,3.3040799444724407e-4,4.278664676295247e-4,1.1885179656375685e-5,3.137687429283181e-4
1993-10-01,0,3.756424590881169e-5,0,2.585303983135863e-4,4.1320670499692857e-4,8.838646096190985e-6,2.6957870593382504e-4
1993-11-01,0,1.6093026891447934e-5,0,3.3795356472040666e-4,3.448505762453129e-4,4.598007683270839e-6,4.942858259516152e-4
1993-12-01,0,1.8520619236904187e-5,0,2.477132822935935e-4,5.04686874205639e-4,2.3150774046130234e-6,0.0013242242754386492
1994-01-01,0,2.3636694550087337e-5,0,2.8364033460104803e-4,4.5146086590666814e-4,2.363669455008734e-6,3.9000546007644105e-4
1994-02-01,0,2.4681972780720417e-5,0,2.246059523045558e-4,5.380670066197051e-4,7.4045918342161256e-6,2.838426869782848e-4
1994-03-01,0,1.9564494355643377e-5,2.1738327061825975e-6,2.760767536851899e-4,3.804207235819546e-4,1.0869163530912989e-5,3.0433657886556366e-4
1994-04-01,0,3.8488184127472866e-5,0,3.9846590626089557e-4,4.0072991709192335e-4,2.0376097479250342e-5,2.626252563992266e-4
1994-05-01,0,3.3089062520680664e-5,0,2.955956251847473e-4,5.382487503364055e-4,2.647125001654453e-5,3.2427281270267053e-4
1994-06-01,0,2.4911281866624997e-5,0,3.8952186191449994e-4,4.5519705956287494e-4,2.0381957890874998e-5,3.5781659408424995e-4
1994-07-01,0,2.2965645690611416e-5,0,4.317541389834946e-4,4.4553352639786146e-4,1.3779387414366849e-05,2.572152317348478e-4
1994-08-01,0,5.2167088917668994e-5,0,4.4228618864980234e-4,3.855828311305969e-4,1.3608805804609303e-5,2.676398474906496e-4
1994-09-01,0,2.6750723384144845e-5,0,2.9871641112295076e-4,4.124069855055664e-4,6.687680846036211e-6,4.034900777108514e-4
1994-10-01,0,5.326061484053772e-5,0,3.238245382304693e-4,3.77085153071007e-4,1.0652122968107543e-5,3.2595496282409084e-4
1994-11-01,0,4.657899464785171e-5,0,3.038724888931278e-4,3.7706805191118053e-4,6.654142092550245e-6,2.861281099796605e-4
1994-12-01,0,2.9324587087256437e-5,0,3.0452455821381683e-4,3.9475405694383667e-4,1.1278687341252475e-5,2.5489833391230594e-4
